period,rows,indicativefee_nonmissing,dcbs_nonmissing,saf_nonmissing,sar_nonmissing,utilisation_nonmissing,activeutilisation_nonmissing,cusip_nonmissing,cusip8_nonmissing,cusip9_nonmissing,indicativefee_coverage,dcbs_coverage,saf_coverage,sar_coverage,utilisation_coverage,activeutilisation_coverage
2006-02,31720,22193,22193,0,0,30418,30418,,,,0.6996532156368221,0.6996532156368221,0.0,0.0,0.958953341740227,0.958953341740227
2006-03,43219,29350,29350,0,0,41497,41497,,,,0.6790994701404475,0.6790994701404475,0.0,0.0,0.9601564126888636,0.9601564126888636
2006-04,36830,23621,23621,0,0,35267,35267,,,,0.641352158566386,0.641352158566386,0.0,0.0,0.9575617702959544,0.9575617702959544
2006-05,48789,31242,31242,0,0,46883,46883,,,,0.6403492590542951,0.6403492590542951,0.0,0.0,0.960933817048925,0.960933817048925
2006-06,38833,24789,24789,0,0,37203,37203,,,,0.6383488270285582,0.6383488270285582,0.0,0.0,0.9580253907758864,0.9580253907758864
2006-07,197073,129711,129711,0,0,188578,188578,,,,0.6581875751625033,0.6581875751625033,0.0,0.0,0.9568941458241362,0.9568941458241362
2006-08,200753,136730,136730,0,0,191319,191319,,,,0.681085712293216,0.681085712293216,0.0,0.0,0.9530069289126439,0.9530069289126439
2006-09,175990,121239,121239,0,0,167811,167811,,,,0.6888970964259333,0.6888970964259333,0.0,0.0,0.9535257685095744,0.9535257685095744
2006-10,185015,126438,126438,0,0,177048,177048,,,,0.6833932383860768,0.6833932383860768,0.0,0.0,0.9569386265978435,0.9569386265978435
2006-11,187145,126972,126972,4295,4295,179071,179071,,,,0.6784685671538112,0.6784685671538112,0.022950118891768415,0.022950118891768415,0.9568569825536348,0.9568569825536348
2006-12,181598,121340,121340,15028,15028,173818,173818,,,,0.6681791649687772,0.6681791649687772,0.08275421535479466,0.08275421535479466,0.957158118481481,0.957158118481481
2007-01,225990,145771,145771,0,0,216365,216365,,,,0.6450329660604451,0.6450329660604451,0.0,0.0,0.9574096198946856,0.9574096198946856
2007-02,202342,133668,133668,0,0,192631,192631,,,,0.6606043233732987,0.6606043233732987,0.0,0.0,0.9520069980528016,0.9520069980528016
2007-03,222453,146284,146284,0,0,211931,211931,,,,0.6575950875016295,0.6575950875016295,0.0,0.0,0.95270012092442,0.95270012092442
2007-04,212170,140581,140581,214,213,201584,201584,,,,0.6625866050808314,0.6625866050808314,0.0010086251590705566,0.0010039119573926568,0.9501060470377527,0.9501060470377527
2007-05,225263,152548,152548,7443,7425,213907,213907,,,,0.6771995400931355,0.6771995400931355,0.03304137830003152,0.032961471701966144,0.9495878151316461,0.9495878151316461
2007-06,198797,138372,138372,12174,12160,188136,188136,,,,0.6960467210269773,0.6960467210269773,0.06123834866723341,0.06116792506929179,0.9463724301674572,0.9463724301674572
2007-07,206889,145680,145680,15328,15322,194715,194715,,,,0.7041457013180981,0.7041457013180981,0.07408803754670379,0.07405903648816516,0.9411568522251063,0.9411568522251063
2007-08,215963,152015,152015,15101,15674,202366,202366,,,,0.7038937225358047,0.7038937225358047,0.0699240147617879,0.07257724702842616,0.9370401411352871,0.9370401411352871
2007-09,185756,132302,132302,12864,12861,172447,172447,,,,0.7122354055858222,0.7122354055858222,0.06925213721225694,0.06923598699369064,0.9283522470337432,0.9283522470337432
2007-10,216155,153010,153010,12448,12440,200427,200427,,,,0.7078716661654831,0.7078716661654831,0.057588304688765,0.05755129421017326,0.9272373990886169,0.9272373990886169
2007-11,213899,149038,149038,23019,23016,196802,196802,,,,0.696768100832636,0.696768100832636,0.10761621138948756,0.10760218607847628,0.9200697525467627,0.9200697525467627
2007-12,207230,145885,145885,28944,29193,189114,189114,,,,0.7039762582637649,0.7039762582637649,0.13967089707088742,0.14087246055107852,0.9125802248709164,0.9125802248709164
2008-01,225367,158183,158183,36107,36098,206937,206937,,,,0.7018906938460377,0.7018906938460377,0.1602142283475398,0.16017429348573659,0.9182222774407965,0.9182222774407965
2008-02,204360,145405,145405,34555,34551,186782,186782,,,,0.7115139949109415,0.7115139949109415,0.16908886279115287,0.16906928948913683,0.9139851242904679,0.9139851242904679
2008-03,203482,144051,144051,33740,33722,186441,186441,,,,0.7079299397489704,0.7079299397489704,0.16581319232167957,0.16572473240876343,0.916253034666457,0.916253034666457
2008-04,211358,148978,148978,37173,37449,194539,194539,,,,0.7048609468295499,0.7048609468295499,0.1758769481164659,0.17718278939051277,0.9204241145355274,0.9204241145355274
2008-05,207409,145987,145987,35603,35818,192420,192420,,,,0.7038604882141084,0.7038604882141084,0.1716560033556885,0.17269260253894478,0.9277321620566128,0.9277321620566128
