period,stock_month_observations,unique_cusip8,mean_percent,std_percent,min_percent,p01_percent,p25_percent,median_percent,p75_percent,p90_percent,p99_percent,max_percent,high_fee_share,util_mean_raw,util_median_raw,util_p90_raw,util_p99_raw,fee_qualifying_share
2015-11,7029,7029,5.031707924313558,12.074870842593473,0.25,0.375,0.5,0.75,3.5000000000000004,13.0,60.0,220.00000000000003,0.4847062171005833,32.16909179600402,12.01153,99.94627,99.9988928,0.9337032294778773
2015-12,7022,7022,5.328823696952435,12.089924255023496,0.25,0.375,0.75,1.125,4.0,13.0,65.0,114.99999999999999,0.5093990316149245,31.021387136401323,11.30033,99.92990999999999,99.9983828,0.9340643691256052
2016-01,6960,6960,5.539619252873563,12.571966707227244,0.25,0.375,0.5,1.125,4.5,14.000000000000002,67.04999999999927,250.0,0.5241379310344828,31.493203367570462,12.18953,99.92698,99.998455,0.9287356321839081
2016-02,6910,6910,5.645115774240232,12.935526280706023,0.25,0.375,0.5,1.125,5.0,14.000000000000002,70.0,225.0,0.5199710564399421,31.49359320691905,12.33183,99.93047,99.9986201,0.9357452966714906
2016-03,7056,7056,5.797335600907029,12.780107009526807,0.25,0.375,0.5,1.125,5.0,15.0,70.0,114.99999999999999,0.5365646258503401,32.47685564513811,12.91539,99.95215400000001,99.99884709999999,0.9339569160997733
2016-04,6681,6681,5.9104363119293515,12.958610364938446,0.25,0.375,0.5,1.125,6.0,15.0,70.0,120.0,0.5066606795389912,28.405526417541765,10.827539999999999,99.88142500000001,99.9987785,0.9483610237988325
2016-05,6600,6600,5.92967803030303,13.2669507179247,0.25,0.375,0.5,1.125,5.0,15.0,70.05000000000109,170.0,0.5071212121212121,27.164806261590012,10.00361,99.79361,99.99893709999999,0.9540909090909091
2016-06,6694,6694,5.9926613385121,13.013804274319968,0.25,0.375,0.5,1.125,6.0,15.0,70.0,140.0,0.5240513893038542,27.39849929105631,10.540745,99.73459,99.9984227,0.9460711084553332
2016-07,6793,6793,6.052572501104078,13.204106476570026,0.25,0.375,0.5,1.125,7.000000000000001,14.000000000000002,70.0,254.99999999999997,0.5299573089945532,28.102332862070465,9.781643500000001,99.92658,99.9989125,0.9449433240100104
2016-08,6747,6747,6.0684934044760634,12.769026973921136,0.25,0.375,0.5,1.125,8.0,14.000000000000002,70.0,114.99999999999999,0.5237883503779458,27.17262637045729,8.983917,99.891296,99.99875560000001,0.9534607973914332
2016-09,6701,6701,5.957002686166244,12.999646246759372,0.25,0.375,0.375,1.125,8.0,14.000000000000002,75.0,170.0,0.5181316221459483,28.03461057041321,9.998146,99.9254,99.99903,0.9512013132368303
2016-10,6711,6711,6.010374757860229,13.295152024966965,0.25,0.375,0.375,1.125,8.0,14.000000000000002,80.0,185.0,0.5201907316346297,27.863132677637076,9.518436999999999,99.91846,99.9990746,0.9502309640888095
