sample,stock_months,unique_permnos,mean_percent,std_percent,min_percent,p01_percent,p25_percent,median_percent,p75_percent,p90_percent,p99_percent,max_percent,high_fee_share_gt_1pct,util_mean_raw,util_median_raw,util_p90_raw,util_p99_raw,month
2013-09,3440,3440,1.5764171511627907,5.768939722167015,0.25,0.25,0.375,0.375,0.375,1.7500000000000002,35.0,90.0,0.12267441860465116,14.834226269801922,5.781489,43.67113600000001,91.01540559999998,2013-09
2013-10,3450,3450,1.506195652173913,5.418702396373377,0.25,0.25,0.375,0.375,0.375,1.7500000000000002,30.0,85.0,0.12318840579710146,14.695978307489833,5.575125,44.66771800000003,92.4874582,2013-10
2013-11,3436,3436,1.63656868451688,6.2532300857263055,0.25,0.25,0.375,0.375,0.375,1.7500000000000002,30.0,100.0,0.1280558789289872,14.353296712650321,4.8942195,43.921075,91.6641875,2013-11
2013-12,3437,3437,1.6123799825429153,6.0621433078401425,0.25,0.25,0.375,0.375,0.375,1.7500000000000002,30.0,95.0,0.1259819610125109,13.825406094810495,4.5630765,41.56896799999999,91.8963676,2013-12
2014-01,3438,3438,1.5568644560791158,5.5794943955411185,0.25,0.25,0.375,0.375,0.375,1.7500000000000002,30.0,90.0,0.12361838278068644,13.858291643111693,4.508418,42.47421600000008,89.51053359999999,2014-01
2014-02,3469,3469,1.6776448544249063,6.3439960651866985,0.25,0.25,0.375,0.375,0.375,2.0,30.0,105.0,0.13173825309887577,14.625973110164884,5.155721,44.30073400000002,92.24840040000001,2014-02
2014-03,3595,3595,1.7645688456189152,6.448623314269161,0.25,0.25,0.375,0.375,0.375,2.7999999999999545,30.0,105.0,0.14325452016689846,15.136796166601455,5.7779025,45.31773600000001,92.7346501,2014-03
2014-04,3603,3603,1.7852137107965584,6.200888060502343,0.25,0.375,0.375,0.375,0.5,3.0,30.0,110.00000000000001,0.147932278656675,15.446455441807798,6.123153,45.806651999999985,93.42638440000005,2014-04
2014-05,3582,3582,1.8164084310441095,6.5819545307801866,0.25,0.25,0.375,0.375,0.5,2.5,35.0,110.00000000000001,0.14963707426018985,15.60680471110426,6.364476,45.785637,92.0725061,2014-05
2014-06,3575,3575,1.8437762237762239,6.678839738883516,0.25,0.25,0.375,0.375,0.5,2.7999999999999545,35.0,110.00000000000001,0.15076923076923077,15.424864499400844,6.53931,45.654132,89.5862338,2014-06
