model,month,status,n_stocks,objective_value,turnover,transaction_cost,short_borrow_cost,long_lending_revenue,gross_return,net_return,short_weight,gross_exposure,fee_exposure
M2,2017-01,CLARABEL_SOLVED,991,2.0265921652853778,2.188695506460175,0.010943477532300875,0.0023614586099377425,1.6702569302560636e-05,0.06976133879161511,0.05647310521867906,0.2500000237944736,1.500000047588946,0.0023614586099377425
M2,2017-02,CLARABEL_SOLVED,988,1.5879088956589844,2.218530701978386,0.01109265350989193,0.0008312500993919543,1.4190775570337165e-05,0.014097262046050964,0.002187549212337417,0.2500000208157455,1.5000000416314911,0.0008312500993919543
M2,2017-03,CLARABEL_SOLVED,992,1.7645818725899511,2.3021310652934526,0.011510655326467263,0.002220041533479449,1.956263182974791e-05,-0.04925512347791941,-0.06296625770603638,0.250000010228613,1.5000000204572261,0.002220041533479449
M2,2017-04,CLARABEL_SOLVED,994,1.9402951157920485,2.407857564607621,0.012039287823038106,0.0006833334010602025,3.0250521232727603e-05,-0.016928037784006287,-0.02962040848687187,0.2500000241534255,1.500000048306851,0.0006833334010602025
M2,2017-05,CLARABEL_SOLVED,992,1.8397340904626551,2.058742987820191,0.010293714939100956,0.0021166667544935116,2.12177563607887e-05,-0.003788887600818777,-0.016178051538052456,0.2500000070369025,1.5000000140738052,0.0021166667544935116
M2,2017-06,CLARABEL_SOLVED,991,1.653674239987252,2.2360194439972423,0.011180097219986211,0.0009604167726677466,2.1351573524294245e-05,0.07362082282137186,0.0615016604022422,0.2500000225249364,1.5000000450498718,0.0009604167726677466
M2,2017-07,CLARABEL_SOLVED,991,1.9936667260241985,2.0521558604712755,0.010260779302356377,0.0035315465688583606,0.00014787243015727244,0.04608966335484675,0.03244520991378929,0.25000001632460866,1.500000032649218,0.0035315465688583606
M2,2017-08,CLARABEL_SOLVED,993,1.8010829595920494,2.302732635351127,0.011513663176755635,0.001530208344023522,1.734983379923172e-05,0.07939079618791012,0.0663642745009302,0.2500000130255412,1.5000000260510822,0.001530208344023522
M2,2017-09,CLARABEL_SOLVED,990,1.8298510567632529,2.2009091465395194,0.011004545732697598,0.0025562505047085084,1.6654024137858572e-05,0.04073932189228803,0.027195179679019785,0.2500000370208267,1.5000000740416537,0.0025562505047085084
M2,2017-10,CLARABEL_SOLVED,993,2.0696661126947107,2.124827582375292,0.010624137911876459,0.0028773168415114855,3.168860595164446e-05,0.012451906466021652,-0.0010178596814146472,0.25000000567483244,1.5000000113496648,0.0028773168415114855
M2,2017-11,CLARABEL_SOLVED,995,1.8118353014014172,2.1550000130395093,0.010775000065197547,0.001050000027082136,2.1197615627085714e-05,-0.007459226485543882,-0.019263028962196484,0.25000000671891937,1.5000000134378384,0.001050000027082136
M2,2017-12,CLARABEL_SOLVED,997,1.9761378664807923,2.3570051237662315,0.011785025618831158,0.0011199344541468804,4.055016087786318e-05,0.031203135819930387,0.018338725907830214,0.2500000097250267,1.500000019450054,0.0011199344541468804
M2,2018-01,CLARABEL_SOLVED,995,1.9898172903221063,1.7740749060570407,0.008870374530285203,0.0020302082987355536,3.749704658813466e-05,0.10331047334732335,0.09244738756489072,0.2500000058858437,1.5000000117716887,0.0020302082987355536
M2,2018-02,CLARABEL_SOLVED,993,1.8410118975943721,2.1457142756757355,0.010728571378378678,0.001759375005118355,2.991369947674828e-05,-0.07823024880531149,-0.09068828148933178,0.25000000205494766,1.5000000041098955,0.001759375005118355
M2,2018-03,CLARABEL_SOLVED,992,2.075369984653504,2.449534855628658,0.01224767427814329,0.0013174366443965187,2.373630479707393e-05,-0.040951791388904785,-0.05449316600664752,0.2500000170091615,1.5000000340183235,0.0013174366443965187
M2,2018-04,CLARABEL_SOLVED,994,2.05630641692863,1.9891139566319032,0.009945569783159516,0.004072559312682537,2.929448961652983e-05,-0.008894335175567468,-0.02288316978179299,0.2500000292160577,1.5000000584321156,0.004072559312682537
M2,2018-05,CLARABEL_SOLVED,990,1.9440589700329185,1.6176471139103663,0.008088235569551832,0.0020330275501424908,2.7684177474306113e-05,0.13318108069277296,0.12308750175055294,0.2500000409417692,1.5000000818835395,0.0020330275501424908
M2,2018-06,CLARABEL_SOLVED,992,1.8729112128391552,2.2999999188566047,0.011499999594283024,0.002102400109380697,2.1772210859259924e-05,0.006772947262278253,-0.006807680230526209,0.25000001394975524,1.5000000278995111,0.002102400109380697
